Ticket,Issue,Priority,Status,Sentiment
TKT-000001,Integration timeout,High,Closed,Neutral
TKT-000002,Dashboard access,Low,Open,Positive
TKT-000003,Incorrect revenue mapping,Critical,Resolved,Neutral
TKT-000004,Incorrect revenue mapping,Critical,Resolved,Positive
TKT-000005,Inventory mismatch,Critical,Open,Negative
TKT-000006,Integration timeout,Critical,Pending,Negative
TKT-000007,Dashboard access,High,Pending,Positive
TKT-000008,Delayed data refresh,Low,Pending,Neutral
TKT-000009,Inventory mismatch,Low,Resolved,Positive
TKT-000010,Integration timeout,Low,Closed,Positive
TKT-000011,User provisioning,High,Open,Neutral
TKT-000012,Inventory mismatch,High,Resolved,Positive
TKT-000013,Inventory mismatch,Low,Resolved,Positive
TKT-000014,Forecast variance,Medium,Pending,Positive
TKT-000015,Delayed data refresh,Low,Resolved,Positive
TKT-000016,Dashboard access,Medium,Open,Positive
TKT-000017,Integration timeout,Critical,Resolved,Positive
TKT-000018,Incorrect revenue mapping,Medium,Pending,Positive
TKT-000019,Forecast variance,Low,Pending,Positive
TKT-000020,Incorrect revenue mapping,Low,Resolved,Neutral
TKT-000021,Delayed data refresh,Critical,Closed,Positive
TKT-000022,Forecast variance,Medium,Resolved,Neutral
TKT-000023,Inventory mismatch,Low,Closed,Positive
TKT-000024,Dashboard access,Medium,Closed,Positive
TKT-000025,Integration timeout,High,Pending,Negative
TKT-000026,User provisioning,High,Resolved,Neutral
TKT-000027,Dashboard access,Medium,Closed,Neutral
TKT-000028,Delayed data refresh,High,Pending,Neutral
TKT-000029,Forecast variance,Medium,Open,Neutral
TKT-000030,Inventory mismatch,Critical,Pending,Negative
TKT-000031,Forecast variance,Medium,Closed,Positive
TKT-000032,Export failure,Critical,Closed,Positive
TKT-000033,Delayed data refresh,High,Resolved,Positive
TKT-000034,Delayed data refresh,Medium,Open,Neutral
TKT-000035,Forecast variance,Medium,Pending,Positive
TKT-000036,User provisioning,Medium,Pending,Negative
TKT-000037,Export failure,Low,Closed,Positive
TKT-000038,User provisioning,Low,Closed,Neutral
TKT-000039,User provisioning,Low,Pending,Negative
TKT-000040,Dashboard access,High,Closed,Neutral
TKT-000041,Export failure,High,Resolved,Positive
TKT-000042,Export failure,Critical,Resolved,Neutral
TKT-000043,Dashboard access,Medium,Open,Positive
TKT-000044,Export failure,Medium,Pending,Negative
TKT-000045,Dashboard access,High,Closed,Positive
TKT-000046,User provisioning,High,Closed,Neutral
TKT-000047,Dashboard access,Medium,Resolved,Positive
TKT-000048,Inventory mismatch,High,Resolved,Neutral
TKT-000049,Incorrect revenue mapping,High,Open,Neutral
TKT-000050,User provisioning,Medium,Closed,Positive
TKT-000051,User provisioning,High,Resolved,Neutral
TKT-000052,Dashboard access,Low,Pending,Neutral
TKT-000053,Forecast variance,Low,Pending,Neutral
TKT-000054,Export failure,Critical,Resolved,Positive
TKT-000055,Delayed data refresh,Low,Pending,Negative
TKT-000056,User provisioning,Low,Pending,Positive
TKT-000057,Dashboard access,Medium,Pending,Negative
TKT-000058,User provisioning,Medium,Open,Neutral
TKT-000059,Export failure,Medium,Open,Negative
TKT-000060,Forecast variance,Medium,Pending,Negative
TKT-000061,Dashboard access,Low,Closed,Positive
TKT-000062,Forecast variance,Critical,Resolved,Positive
TKT-000063,Inventory mismatch,Low,Pending,Negative
TKT-000064,Integration timeout,Medium,Closed,Neutral
TKT-000065,Dashboard access,Medium,Resolved,Neutral
TKT-000066,Delayed data refresh,Medium,Open,Neutral
TKT-000067,Inventory mismatch,Low,Resolved,Positive
TKT-000068,User provisioning,Medium,Resolved,Positive
TKT-000069,Export failure,High,Pending,Negative
TKT-000070,User provisioning,High,Open,Negative
TKT-000071,Forecast variance,High,Pending,Neutral
TKT-000072,Dashboard access,Medium,Resolved,Neutral
TKT-000073,Delayed data refresh,High,Resolved,Positive
TKT-000074,Forecast variance,Low,Closed,Positive
TKT-000075,Forecast variance,Critical,Resolved,Neutral
TKT-000076,Forecast variance,Critical,Resolved,Positive
TKT-000077,Delayed data refresh,Critical,Closed,Positive
TKT-000078,Delayed data refresh,Low,Pending,Neutral
TKT-000079,Forecast variance,Medium,Pending,Neutral
TKT-000080,Inventory mismatch,Critical,Pending,Negative
TKT-000081,Integration timeout,High,Closed,Neutral
TKT-000082,Delayed data refresh,Low,Pending,Neutral
TKT-000083,Integration timeout,High,Open,Neutral
TKT-000084,Integration timeout,Medium,Open,Positive
TKT-000085,Dashboard access,Critical,Open,Negative
TKT-000086,Delayed data refresh,Medium,Resolved,Positive
TKT-000087,User provisioning,Low,Resolved,Positive
TKT-000088,User provisioning,Critical,Open,Negative
TKT-000089,Forecast variance,Medium,Open,Neutral
TKT-000090,Incorrect revenue mapping,High,Resolved,Neutral
TKT-000091,Inventory mismatch,Medium,Closed,Neutral
TKT-000092,Integration timeout,Critical,Open,Negative
TKT-000093,Export failure,Medium,Resolved,Positive
TKT-000094,User provisioning,Low,Pending,Negative
TKT-000095,Delayed data refresh,Medium,Open,Positive
TKT-000096,Integration timeout,High,Open,Neutral
TKT-000097,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000098,User provisioning,Medium,Closed,Positive
TKT-000099,Incorrect revenue mapping,High,Closed,Neutral
TKT-000100,Incorrect revenue mapping,High,Closed,Neutral
TKT-000101,Forecast variance,Low,Pending,Negative
TKT-000102,Forecast variance,Low,Open,Neutral
TKT-000103,Forecast variance,Medium,Closed,Positive
TKT-000104,Inventory mismatch,Medium,Pending,Neutral
TKT-000105,Export failure,Low,Closed,Neutral
TKT-000106,Dashboard access,Low,Resolved,Neutral
TKT-000107,Integration timeout,Low,Open,Positive
TKT-000108,Integration timeout,High,Pending,Positive
TKT-000109,Incorrect revenue mapping,Critical,Closed,Positive
TKT-000110,Integration timeout,High,Open,Positive
TKT-000111,User provisioning,High,Open,Negative
TKT-000112,Inventory mismatch,Medium,Resolved,Positive
TKT-000113,Integration timeout,High,Pending,Negative
TKT-000114,Export failure,Medium,Pending,Positive
TKT-000115,Export failure,Low,Pending,Positive
TKT-000116,Integration timeout,High,Open,Neutral
TKT-000117,User provisioning,Medium,Resolved,Positive
TKT-000118,Inventory mismatch,Low,Resolved,Positive
TKT-000119,User provisioning,Medium,Resolved,Neutral
TKT-000120,Inventory mismatch,Critical,Open,Negative
TKT-000121,Forecast variance,High,Open,Negative
TKT-000122,User provisioning,Low,Closed,Positive
TKT-000123,Export failure,Medium,Resolved,Neutral
TKT-000124,Inventory mismatch,Critical,Open,Negative
TKT-000125,Integration timeout,Medium,Resolved,Positive
TKT-000126,Export failure,High,Open,Positive
TKT-000127,Delayed data refresh,Critical,Resolved,Neutral
TKT-000128,Forecast variance,Medium,Resolved,Positive
TKT-000129,Dashboard access,Critical,Resolved,Positive
TKT-000130,Delayed data refresh,Medium,Open,Negative
TKT-000131,Inventory mismatch,High,Closed,Neutral
TKT-000132,User provisioning,Low,Pending,Neutral
TKT-000133,Integration timeout,Medium,Open,Positive
TKT-000134,Inventory mismatch,Low,Closed,Positive
TKT-000135,Inventory mismatch,High,Open,Neutral
TKT-000136,Forecast variance,Medium,Closed,Positive
TKT-000137,Dashboard access,Medium,Resolved,Positive
TKT-000138,Inventory mismatch,Critical,Pending,Negative
TKT-000139,Inventory mismatch,Low,Resolved,Neutral
TKT-000140,Delayed data refresh,Medium,Open,Neutral
TKT-000141,Export failure,Low,Open,Negative
TKT-000142,Export failure,High,Pending,Negative
TKT-000143,User provisioning,Low,Pending,Neutral
TKT-000144,User provisioning,High,Closed,Neutral
TKT-000145,Integration timeout,Critical,Resolved,Neutral
TKT-000146,User provisioning,High,Open,Negative
TKT-000147,Inventory mismatch,Medium,Resolved,Positive
TKT-000148,Integration timeout,Low,Open,Positive
TKT-000149,Inventory mismatch,High,Pending,Positive
TKT-000150,User provisioning,Medium,Pending,Negative
TKT-000151,Incorrect revenue mapping,Medium,Pending,Neutral
TKT-000152,Integration timeout,Medium,Open,Neutral
TKT-000153,Dashboard access,Low,Pending,Negative
TKT-000154,Delayed data refresh,Critical,Open,Negative
TKT-000155,Export failure,Medium,Resolved,Positive
TKT-000156,Export failure,Low,Resolved,Neutral
TKT-000157,User provisioning,Medium,Pending,Negative
TKT-000158,Delayed data refresh,Medium,Open,Negative
TKT-000159,Delayed data refresh,Critical,Open,Negative
TKT-000160,Delayed data refresh,Critical,Pending,Negative
TKT-000161,User provisioning,Critical,Open,Negative
TKT-000162,Export failure,High,Open,Negative
TKT-000163,Integration timeout,Medium,Closed,Neutral
TKT-000164,Inventory mismatch,Medium,Pending,Negative
TKT-000165,Dashboard access,Critical,Pending,Negative
TKT-000166,Integration timeout,Medium,Closed,Neutral
TKT-000167,User provisioning,Medium,Open,Neutral
TKT-000168,Dashboard access,Critical,Closed,Positive
TKT-000169,Incorrect revenue mapping,High,Open,Negative
TKT-000170,Incorrect revenue mapping,Medium,Closed,Positive
TKT-000171,Forecast variance,Medium,Closed,Positive
TKT-000172,Inventory mismatch,Low,Closed,Positive
