id,sku,category_id,name,description,unit_cost,unit_price,reorder_level,is_active
1fa2b768-1b9d-5b9c-befa-fac1ccb97563,SNT-01-0001,10d397cd-be20-59ab-afe6-a98afd720c37,Adaptive Console 01,Analytics capability for mid-market and enterprise teams.,335.80,771.34,36,True
829935ce-9ec7-5afb-a542-873877c9ce31,SNT-02-0002,36984dba-5c9e-5a8b-9855-aa96c6795add,Cloud Console 02,Automation capability for mid-market and enterprise teams.,254.86,378.45,45,True
0137b3c3-db39-5e56-abf7-8ae43bc349ad,SNT-03-0003,76c04eda-8007-536b-8b18-4381cc71212a,Enterprise Console 03,Collaboration capability for mid-market and enterprise teams.,490.81,1129.31,19,True
9b6b9203-f582-59b6-b64c-309881607c86,SNT-04-0004,73c5b74f-2c54-5f61-9368-e981da7d3f6e,Insight Console 04,Compliance capability for mid-market and enterprise teams.,410.56,876.23,50,True
1657c1e2-1668-5957-a5e5-822140c08707,SNT-05-0005,6c4e8c97-75ed-55f4-a44d-a47a6aa67956,Nexus Console 05,Data Infrastructure capability for mid-market and enterprise teams.,542.68,1260.09,41,True
1760c2e4-563f-5bac-abcd-baf5317434c8,SNT-06-0006,709e0311-24b2-50de-926e-b3505a47b6d7,Precision Console 06,Finance capability for mid-market and enterprise teams.,745.27,1665.26,40,True
e691a6a3-7dd7-5d95-b97e-997e3af77227,SNT-07-0007,288a9bba-2ad7-5ff3-9ca3-0c3dc3729fb7,Quantum Console 07,Operations capability for mid-market and enterprise teams.,251.47,551.10,22,True
f78fc905-81d2-5f52-8c77-1cff3a4b42b7,SNT-08-0008,d1f6ee56-d871-5e7e-b8c6-34cfea5d2a60,Secure Console 08,Security capability for mid-market and enterprise teams.,155.84,290.47,11,True
6469a098-75a3-5b3b-839a-ad075a8e67ad,SNT-09-0009,afa4681b-b69c-5175-a7b7-af9246380130,Unified Console 09,Support capability for mid-market and enterprise teams.,334.44,728.47,29,True
86eda21c-1dbc-500a-9201-b7d6b0786cc8,SNT-10-0010,c86bca2a-69aa-58fb-9b94-2491f43c9e4c,Velocity Console 10,Workforce capability for mid-market and enterprise teams.,492.45,1060.50,42,True
39cb20a1-5dca-5b11-90c4-3e96e441ed0c,SNT-01-0011,10d397cd-be20-59ab-afe6-a98afd720c37,Adaptive Engine 11,Analytics capability for mid-market and enterprise teams.,296.26,447.96,34,True
2f2113cc-589a-55b5-846a-78fddce3a3c9,SNT-02-0012,36984dba-5c9e-5a8b-9855-aa96c6795add,Cloud Engine 12,Automation capability for mid-market and enterprise teams.,407.12,688.27,23,True
b6464168-fc86-5543-9805-0861ea9c66cc,SNT-03-0013,76c04eda-8007-536b-8b18-4381cc71212a,Enterprise Engine 13,Collaboration capability for mid-market and enterprise teams.,734.86,1065.14,14,True
c2be7cd9-f7ee-544a-9ceb-7052826da8ce,SNT-04-0014,73c5b74f-2c54-5f61-9368-e981da7d3f6e,Insight Engine 14,Compliance capability for mid-market and enterprise teams.,103.39,183.13,21,True
4dbc0e6b-ab10-5b67-a928-f87e1ed2bb9a,SNT-05-0015,6c4e8c97-75ed-55f4-a44d-a47a6aa67956,Nexus Engine 15,Data Infrastructure capability for mid-market and enterprise teams.,105.19,233.65,38,True
0caef625-914f-5fea-8e59-19b212bfbd46,SNT-06-0016,709e0311-24b2-50de-926e-b3505a47b6d7,Precision Engine 16,Finance capability for mid-market and enterprise teams.,836.02,1252.51,48,True
d37c44df-541b-5bf4-b395-65b41bac88a8,SNT-07-0017,288a9bba-2ad7-5ff3-9ca3-0c3dc3729fb7,Quantum Engine 17,Operations capability for mid-market and enterprise teams.,757.56,1334.93,40,True
88f79184-2cf9-5f72-8e4a-cedfa68d9d06,SNT-08-0018,d1f6ee56-d871-5e7e-b8c6-34cfea5d2a60,Secure Engine 18,Security capability for mid-market and enterprise teams.,232.36,475.83,36,True
